idx,venue_capacity,venue_name,venue_fuzzwuzz_score,venue_city,venue_country,venue_lat,venue_long,venue_dist_from_expected,sk_popularity,last_time_played,days_since_last_played,total_times_played_locally
5357,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,0.000114,2019-09-15,69,3
5358,,Ahoy,100,Rotterdam,Netherlands,51.88276,4.48821,0.04234317343258116,0.000943,2019-09-07,77,74
5359,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.003805,2019-09-05,79,53
5360,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.066166,2018-11-28,360,18
5361,,Poppodium Q-Factory,0,,,,,,0.01678,2017-10-07,777,3
5362,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.000648,2018-10-28,391,27
5363,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.004976,2018-10-13,406,3
5364,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.000546,2019-02-02,294,1
5365,550,"Paradiso Noord, Tolhuistuin",100,Amsterdam,Netherlands,52.38515,4.90023,0.8221570635682047,0.001291,2019-09-15,69,98
5366,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.065022,,,0
5367,,De Boerderij,100,Zoetermeer,Netherlands,52.0633251,4.4691837,0.0006209454469254021,8.8e-05,,,0
5368,,De Pul,100,Uden,Netherlands,51.6633111,5.610307,0.0004980577540305771,,2017-06-18,888,4
5369,,De Pul,100,Uden,Netherlands,51.6633111,5.610307,0.0004980577540305771,,2016-10-07,1142,1
5370,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,2e-06,2019-09-21,63,8
5371,,Dynamo,100,Eindhoven,Netherlands,51.4376604,5.4805452,0.0003356723410972805,1e-06,2019-06-01,175,3
5372,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,1.4e-05,2018-11-17,371,8
5373,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.00079,,,0
5374,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.019644,2019-02-23,273,5
5375,300,Effenaar Kleine Zaal,100,Eindhoven,Netherlands,51.4415824,5.4836257,0.0004767521281239969,,,,0
5376,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.041357,2018-06-21,520,7
5377,,P60,100,Amstelveen,Netherlands,52.302778,4.8586982,0.01864467754195927,0.0,2018-11-17,371,1
5378,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.001554,2019-09-21,63,111
5379,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,,,,0
5380,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,,2019-05-23,185,3
5381,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.024988,2017-10-25,760,3
5382,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.010858,,,0
5383,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.001628,2018-08-31,450,2
5384,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,0.000362,,,0
5385,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.130911,2019-05-17,191,2
5386,,Poppodium Q-Factory,0,,,,,,0.000186,,,0
5387,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,6.5e-05,2015-12-19,1436,4
5388,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.000137,,,0
5389,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,0.00022738192040617337,0.016512,2014-04-30,2034,2
5390,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,,,,0
5391,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.023223,2018-10-26,395,5
5392,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.032862,,,0
5393,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.009458,2019-08-29,88,69
5394,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.025234,2018-10-21,400,5
